index,type,value,combination
0,i8*,inttype(i64 max ),i8*	inttype	i64	max	
1,i32,"main(i32 argc ,i8** argv )",i32	main	i32	argc	i	argv	
2,void,chknull(i8* p ),void	chknull	i8*	p	
3,i8*,"iconv_open_ccsid(i32 ccsidout ,i32 ccsidin ,i32 nullflag )",i8*	iconv	open	ccsid	i32	ccsidout	i32	ccsidin	i32	nullflag	
4,void,"link_transition(t_transition* t ,t_state* from ,t_state* to )",void	link	transition	t	transition	t	t	state	from	t	state	to	
5,void,"link_transition(t_transition* t ,t_state* from ,t_state* to )",void	link	transition	t	transition	t	t	state	from	t	state	to	
6,void,"link_transition(t_transition* t ,t_state* from ,t_state* to )",void	link	transition	t	transition	t	t	state	from	t	state	to	
7,void,"link_transition(t_transition* t ,t_state* from ,t_state* to )",void	link	transition	t	transition	t	t	state	from	t	state	to	
8,t_transition*,"uniquetransition(i32 token ,t_state* from ,t_state* to )",t	transition	uniquetransition	i32	token	t	state	from	t	state	to	
9,t_transition*,"uniquetransition(i32 token ,t_state* from ,t_state* to )",t	transition	uniquetransition	i32	token	t	state	from	t	state	to	
10,t_transition*,"uniquetransition(i32 token ,t_state* from ,t_state* to )",t	transition	uniquetransition	i32	token	t	state	from	t	state	to	
11,t_transition*,"uniquetransition(i32 token ,t_state* from ,t_state* to )",t	transition	uniquetransition	i32	token	t	state	from	t	state	to	
12,t_powerset*,"set_include(t_powerset* s ,i8* e )",t	powerset	set	include	t	powerset	s	i8*	e	
13,t_powerset*,"set_include(t_powerset* s ,i8* e )",t	powerset	set	include	t	powerset	s	i8*	e	
14,void,"nfaslice(t_state** from ,t_state** to ,i8* icc ,i8* chr ,i32 chlen ,i8* name ,i32 len ,t_state* final )",void	nfaslice	t	state	from	t	state	to	i8*	icc	i8*	chr	i32	chlen	i8*	name	i32	len	t	state	final	
15,void,"nfaslice(t_state** from ,t_state** to ,i8* icc ,i8* chr ,i32 chlen ,i8* name ,i32 len ,t_state* final )",void	nfaslice	t	state	from	t	state	to	i8*	icc	i8*	chr	i32	chlen	i8*	name	i32	len	t	state	final	
16,void,"nfaslice(t_state** from ,t_state** to ,i8* icc ,i8* chr ,i32 chlen ,i8* name ,i32 len ,t_state* final )",void	nfaslice	t	state	from	t	state	to	i8*	icc	i8*	chr	i32	chlen	i8*	name	i32	len	t	state	final	
17,void,"nfaslice(t_state** from ,t_state** to ,i8* icc ,i8* chr ,i32 chlen ,i8* name ,i32 len ,t_state* final )",void	nfaslice	t	state	from	t	state	to	i8*	icc	i8*	chr	i32	chlen	i8*	name	i32	len	t	state	final	
18,void,"nfaslice(t_state** from ,t_state** to ,i8* icc ,i8* chr ,i32 chlen ,i8* name ,i32 len ,t_state* final )",void	nfaslice	t	state	from	t	state	to	i8*	icc	i8*	chr	i32	chlen	i8*	name	i32	len	t	state	final	
19,void,"nfaslice(t_state** from ,t_state** to ,i8* icc ,i8* chr ,i32 chlen ,i8* name ,i32 len ,t_state* final )",void	nfaslice	t	state	from	t	state	to	i8*	icc	i8*	chr	i32	chlen	i8*	name	i32	len	t	state	final	
20,void,"nfaslice(t_state** from ,t_state** to ,i8* icc ,i8* chr ,i32 chlen ,i8* name ,i32 len ,t_state* final )",void	nfaslice	t	state	from	t	state	to	i8*	icc	i8*	chr	i32	chlen	i8*	name	i32	len	t	state	final	
21,void,"nfaslice(t_state** from ,t_state** to ,i8* icc ,i8* chr ,i32 chlen ,i8* name ,i32 len ,t_state* final )",void	nfaslice	t	state	from	t	state	to	i8*	icc	i8*	chr	i32	chlen	i8*	name	i32	len	t	state	final	
22,void,"nfaenter(i8* name ,i32 len ,t_chset* charset )",void	nfaenter	i8*	name	i32	len	t	chset	charset	
23,i32,"utf8_utostr(i8* s ,i32 v )",i32	utf	utostr	i8*	s	i32	v	
24,i32,"utf8_utostrpad(i8* s ,i32 v ,i32 digits )",i32	utf	utostrpad	i8*	s	i32	v	i32	digits	
