index,type,value,combination,label
0,i8*,inttype(i64 max ),i8*	inttype	i64	max	,-1
1,i32,"main(i32 argc ,i8** argv )",i32	main	i32	argc	i	argv	,0
2,void,chknull(i8* p ),void	chknull	i8*	p	,-1
3,i8*,"iconv_open_ccsid(i32 ccsidout ,i32 ccsidin ,i32 nullflag )",i8*	iconv	open	ccsid	i32	ccsidout	i32	ccsidin	i32	nullflag	,-1
4,void,"link_transition(t_transition* t ,t_state* from ,t_state* to )",void	link	transition	t	transition	t	t	state	from	t	state	to	,1
5,void,"link_transition(t_transition* t ,t_state* from ,t_state* to )",void	link	transition	t	transition	t	t	state	from	t	state	to	,1
6,void,"link_transition(t_transition* t ,t_state* from ,t_state* to )",void	link	transition	t	transition	t	t	state	from	t	state	to	,1
7,void,"link_transition(t_transition* t ,t_state* from ,t_state* to )",void	link	transition	t	transition	t	t	state	from	t	state	to	,1
8,t_transition*,"uniquetransition(i32 token ,t_state* from ,t_state* to )",t	transition	uniquetransition	i32	token	t	state	from	t	state	to	,2
9,t_transition*,"uniquetransition(i32 token ,t_state* from ,t_state* to )",t	transition	uniquetransition	i32	token	t	state	from	t	state	to	,2
10,t_transition*,"uniquetransition(i32 token ,t_state* from ,t_state* to )",t	transition	uniquetransition	i32	token	t	state	from	t	state	to	,2
11,t_transition*,"uniquetransition(i32 token ,t_state* from ,t_state* to )",t	transition	uniquetransition	i32	token	t	state	from	t	state	to	,2
12,t_powerset*,"set_include(t_powerset* s ,i8* e )",t	powerset	set	include	t	powerset	s	i8*	e	,3
13,t_powerset*,"set_include(t_powerset* s ,i8* e )",t	powerset	set	include	t	powerset	s	i8*	e	,3
14,void,"nfaslice(t_state** from ,t_state** to ,i8* icc ,i8* chr ,i32 chlen ,i8* name ,i32 len ,t_state* final )",void	nfaslice	t	state	from	t	state	to	i8*	icc	i8*	chr	i32	chlen	i8*	name	i32	len	t	state	final	,4
15,void,"nfaslice(t_state** from ,t_state** to ,i8* icc ,i8* chr ,i32 chlen ,i8* name ,i32 len ,t_state* final )",void	nfaslice	t	state	from	t	state	to	i8*	icc	i8*	chr	i32	chlen	i8*	name	i32	len	t	state	final	,4
16,void,"nfaslice(t_state** from ,t_state** to ,i8* icc ,i8* chr ,i32 chlen ,i8* name ,i32 len ,t_state* final )",void	nfaslice	t	state	from	t	state	to	i8*	icc	i8*	chr	i32	chlen	i8*	name	i32	len	t	state	final	,4
