file Name,line,comp relation,source1_from,Source1_type,Source1_info,source2_from,Source2_type,Source2_info,source3_from,Source3_type,Source3_info,,,,,,,,,,,,,,,,,,,,,,,,,,,
bldcsndfa.c,1002,!=,function,_xmlXPathObject*,xmlXPathEval,global,_xmlXPathObject*,null,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
bldcsndfa.c,1003,=,unkonwn,unprecessed,"  %17 = getelementptr inbounds %struct._xmlXPathObject, %struct._xmlXPathObject* %16, i32 0, i32 0, !dbg !544",global,i32,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
bldcsndfa.c,1033,!=,function,_xmlDoc*,loadXMLFile,global,_xmlDoc*,null,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
bldcsndfa.c,1046++,!=,unkonwn,unprecessed,"  %40 = getelementptr inbounds %struct._xmlXPathObject, %struct._xmlXPathObject* %39, i32 0, i32 1, !dbg !580",global,_xmlNodeSet*,null,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
bldcsndfa.c,1046+,!=,unkonwn,unprecessed,"  %35 = getelementptr inbounds %struct._xmlXPathObject, %struct._xmlXPathObject* %34, i32 0, i32 0, !dbg !576",global,i32,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
bldcsndfa.c,1046,!=,function,_xmlXPathObject*,xmlXPathEval,global,_xmlXPathObject*,null,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
bldcsndfa.c,1047+,<=,unkonwn,unprecessed,"  %54 = getelementptr inbounds %struct._xmlNodeSet, %struct._xmlNodeSet* %53, i32 0, i32 0, !dbg !588",global,i32,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
bldcsndfa.c,1047,!=,unkonwn,unprecessed,"  %47 = getelementptr inbounds %struct._xmlNodeSet, %struct._xmlNodeSet* %46, i32 0, i32 2, !dbg !584",global,_xmlNode**,null,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
bldcsndfa.c,1062+++,!=,function,i32,columnPosition,global,i32,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
bldcsndfa.c,1062++,!=,function,i32,columnPosition,global,i32,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
bldcsndfa.c,1062+,!=,function,i32,columnPosition,global,i32,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
bldcsndfa.c,1062,!=,function,i32,columnPosition,global,i32,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
bldcsndfa.c,1080,<,unkonwn,unprecessed,"  %14 = alloca i32, align 4",unkonwn,unprecessed,"  %120 = getelementptr inbounds %struct._xmlNodeSet, %struct._xmlNodeSet* %119, i32 0, i32 0, !dbg !654",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
bldcsndfa.c,1089+,!=,unkonwn,unprecessed,"  %141 = getelementptr inbounds %struct._xmlXPathObject, %struct._xmlXPathObject* %140, i32 0, i32 0, !dbg !671",global,i32,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
bldcsndfa.c,1089,!=,function,_xmlXPathObject*,xmlXPathEval,global,_xmlXPathObject*,null,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
bldcsndfa.c,1094,!=,function,i32,xmlXPathIsNaN,global,i32,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
bldcsndfa.c,1109,!=,unkonwn,unprecessed,"  %13 = alloca %struct.t_chset*, align 8",global,t_chset*,null,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
bldcsndfa.c,1110,=,unkonwn,unprecessed,"  %191 = getelementptr inbounds %struct.t_chset, %struct.t_chset* %190, i32 0, i32 4, !dbg !721",unkonwn,unprecessed,"  %183 = fptosi double %182 to i32, !dbg !707",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
bldcsndfa.c,1113,!=,global,,common dso_local global t_chset* null,global,t_chset*,null,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
bldcsndfa.c,1122+,!=,unkonwn,unprecessed,"  %212 = getelementptr inbounds %struct._xmlXPathObject, %struct._xmlXPathObject* %211, i32 0, i32 0, !dbg !743",global,i32,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
bldcsndfa.c,1122,!=,function,_xmlXPathObject*,xmlXPathEval,global,_xmlXPathObject*,null,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
bldcsndfa.c,1128+,!=,unkonwn,unprecessed,"  %230 = zext i8 %229 to i32, !dbg !755",global,i32,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
bldcsndfa.c,1128,!=,unkonwn,unprecessed,"  %221 = getelementptr inbounds %struct._xmlXPathObject, %struct._xmlXPathObject* %220, i32 0, i32 4, !dbg !753",global,i8*,null,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
bldcsndfa.c,1139+,!=,unkonwn,unprecessed,"  %245 = getelementptr inbounds %struct._xmlXPathObject, %struct._xmlXPathObject* %244, i32 0, i32 0, !dbg !771",global,i32,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
bldcsndfa.c,1139,!=,function,_xmlXPathObject*,xmlXPathEval,global,_xmlXPathObject*,null,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
bldcsndfa.c,1144+,!=,unkonwn,unprecessed,"  %263 = zext i8 %262 to i32, !dbg !783",global,i32,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
bldcsndfa.c,1144,!=,unkonwn,unprecessed,"  %254 = getelementptr inbounds %struct._xmlXPathObject, %struct._xmlXPathObject* %253, i32 0, i32 4, !dbg !781",global,i8*,null,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
bldcsndfa.c,1155+,!=,unkonwn,unprecessed,"  %278 = getelementptr inbounds %struct._xmlXPathObject, %struct._xmlXPathObject* %277, i32 0, i32 0, !dbg !799",global,i32,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
bldcsndfa.c,1155,!=,function,_xmlXPathObject*,xmlXPathEval,global,_xmlXPathObject*,null,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
bldcsndfa.c,1160+,!=,unkonwn,unprecessed,"  %294 = getelementptr inbounds %struct._xmlNodeSet, %struct._xmlNodeSet* %293, i32 0, i32 2, !dbg !813",global,_xmlNode**,null,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
bldcsndfa.c,1160,!=,unkonwn,unprecessed,"  %287 = getelementptr inbounds %struct._xmlXPathObject, %struct._xmlXPathObject* %286, i32 0, i32 1, !dbg !809",global,_xmlNodeSet*,null,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
bldcsndfa.c,1161,<,unkonwn,unprecessed,"  %15 = alloca i32, align 4",unkonwn,unprecessed,"  %303 = getelementptr inbounds %struct._xmlNodeSet, %struct._xmlNodeSet* %302, i32 0, i32 0, !dbg !822",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
bldcsndfa.c,1164++,!=,unkonwn,unprecessed,"  %329 = zext i8 %328 to i32, !dbg !837",global,i32,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
bldcsndfa.c,1164+,!=,unkonwn,unprecessed,"  %320 = getelementptr inbounds %struct._xmlNode, %struct._xmlNode* %319, i32 0, i32 10, !dbg !835",global,i8*,null,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
bldcsndfa.c,1164,!=,unkonwn,unprecessed,"  %314 = getelementptr inbounds %struct._xmlNode*, %struct._xmlNode** %311, i64 %313, !dbg !825",global,_xmlNode*,null,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
bldcsndfa.c,1187,!=,unkonwn,unprecessed,"  %9 = getelementptr inbounds %struct.t_state, %struct.t_state* %8, i32 0, i32 5, !dbg !373",global,t_powerset*,null,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
bldcsndfa.c,1202,!=,unkonwn,unprecessed,"  %6 = alloca %struct.t_transition*, align 8",global,t_transition*,null,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
bldcsndfa.c,1203,=,unkonwn,unprecessed,"  %33 = zext i16 %32 to i32, !dbg !393",global,i32,256,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
bldcsndfa.c,1207,!=,unkonwn,unprecessed,"  %37 = getelementptr inbounds %struct.t_powerset, %struct.t_powerset* %36, i32 0, i32 1, !dbg !400",unkonwn,unprecessed,"  %47 = getelementptr inbounds %struct.t_powerset, %struct.t_powerset* %46, i32 0, i32 1, !dbg !410",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
bldcsndfa.c,1221,<,unkonwn,unprecessed,"  %5 = alloca i32, align 4",unkonwn,unprecessed,"  %9 = getelementptr inbounds %struct.t_powerset, %struct.t_powerset* %8, i32 0, i32 1, !dbg !375",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
bldcsndfa.c,1235,!=,unkonwn,unprecessed,"  %21 = bitcast i8* %20 to %struct.t_state*, !dbg !384",global,t_state*,null,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
bldcsndfa.c,1262,!=,function,i32,hash_add,global,i32,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
bldcsndfa.c,1321,!=,global,i32,0,global,i32,1,global,i32,100,unkonwn,unprecessed,i32 0,,,,,,,,,,,,,,,,,,,,,,,,
bldcsndfa.c,1335,<,unkonwn,unprecessed,"  %5 = alloca i32, align 4",unkonwn,unprecessed,"  %48 = getelementptr inbounds %struct.t_powerset, %struct.t_powerset* %47, i32 0, i32 1, !dbg !436",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
bldcsndfa.c,1338,!=,unkonwn,unprecessed,"  %8 = alloca %struct.t_transition*, align 8",global,t_transition*,null,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
bldcsndfa.c,1339,!=,unkonwn,unprecessed,"  %71 = zext i16 %70 to i32, !dbg !453",global,i32,256,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
bldcsndfa.c,1359,<,unkonwn,unprecessed,"  %6 = alloca i32, align 4",unkonwn,unprecessed,"  %103 = getelementptr inbounds %struct.t_powerset, %struct.t_powerset* %102, i32 0, i32 1, !dbg !493",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
bldcsndfa.c,1362,!=,global,i32,256,unkonwn,unprecessed,"  %118 = zext i16 %117 to i32, !dbg !503",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
bldcsndfa.c,1363,!=,unkonwn,unprecessed,"  %122 = getelementptr inbounds %struct.t_powerset, %struct.t_powerset* %121, i32 0, i32 1, !dbg !510",global,i32,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
bldcsndfa.c,1382,!=,unkonwn,unprecessed,"  %152 = getelementptr inbounds %struct.t_powerset, %struct.t_powerset* %151, i32 0, i32 1, !dbg !540",global,i32,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
bldcsndfa.c,1385,!=,global,t_state*,null,unkonwn,unprecessed,%struct.t_state* null,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
bldcsndfa.c,1397,!=,global,,common dso_local global t_state* null,global,t_state*,null,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
bldcsndfa.c,1404,<,global,i32,0,unkonwn,unprecessed,"  %192 = getelementptr inbounds %struct.t_powerset, %struct.t_powerset* %191, i32 0, i32 1, !dbg !586",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
bldcsndfa.c,1407,!=,unkonwn,unprecessed,"  %204 = getelementptr inbounds %struct.t_state, %struct.t_state* %203, i32 0, i32 4, !dbg !597",global,t_chset*,null,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
bldcsndfa.c,1408+,!=,unkonwn,unprecessed,"  %214 = getelementptr inbounds %struct.t_state, %struct.t_state* %213, i32 0, i32 4, !dbg !605",unkonwn,unprecessed,"  %217 = getelementptr inbounds %struct.t_state, %struct.t_state* %216, i32 0, i32 4, !dbg !607",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
bldcsndfa.c,1408,!=,unkonwn,unprecessed,"  %209 = getelementptr inbounds %struct.t_state, %struct.t_state* %208, i32 0, i32 4, !dbg !602",global,t_chset*,null,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
bldcsndfa.c,1437,!=,global,,common dso_local global t_state* null,global,t_state*,null,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
bldcsndfa.c,1440,!=,unkonwn,unprecessed,"  %17 = getelementptr inbounds %struct.t_state, %struct.t_state* %16, i32 0, i32 2, !dbg !385",global,t_transition*,null,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
bldcsndfa.c,1445,!=,unkonwn,unprecessed,"  %28 = getelementptr inbounds %struct.t_state, %struct.t_state* %27, i32 0, i32 3, !dbg !398",global,t_transition*,null,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
bldcsndfa.c,1503,!=,unkonwn,unprecessed,"  %3 = alloca %struct.t_state*, align 8",global,t_state*,null,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
bldcsndfa.c,1504,!=,unkonwn,unprecessed,"  %28 = bitcast i8* %27 to %struct.t_stategroup*, !dbg !417",global,t_stategroup*,null,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
bldcsndfa.c,1509,!=,function,i32,hash_add,global,i32,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
