index,type,value,combination
0,_xmlXPathObject*,xmlXPathEval,xml	X	Path	Object*	xml	X	Path	Eval	
1,_xmlDoc*,loadXMLFile,xml	Doc*	load	X	M	L	File	
2,_xmlXPathObject*,xmlXPathEval,xml	X	Path	Object*	xml	X	Path	Eval	
3,i32,columnPosition,i32	column	Position	
4,i32,columnPosition,i32	column	Position	
5,i32,columnPosition,i32	column	Position	
6,i32,columnPosition,i32	column	Position	
7,_xmlXPathObject*,xmlXPathEval,xml	X	Path	Object*	xml	X	Path	Eval	
8,i32,xmlXPathIsNaN,i32	xml	X	Path	Is	Na	N	
9,_xmlXPathObject*,xmlXPathEval,xml	X	Path	Object*	xml	X	Path	Eval	
10,_xmlXPathObject*,xmlXPathEval,xml	X	Path	Object*	xml	X	Path	Eval	
11,_xmlXPathObject*,xmlXPathEval,xml	X	Path	Object*	xml	X	Path	Eval	
12,i32,hash_add,i32	hash	add	
13,i32,hash_add,i32	hash	add	
14,i32,hash_add,i32	hash	add	
15,i32,hash_add,i32	hash	add	
16,i64,strlen,i64	strlen	
17,_IO_FILE*,fopen,I	O	F	I	L	E*	fopen	
18,i32,ferror,i32	ferror	
19,i8*,malloc,i8*	malloc	
20,i32,open,i32	open	
21,i32,memcmp,i32	memcmp	
22,i32,memcmp,i32	memcmp	
23,i32,set_position,i32	set	position	
24,i32,set_position,i32	set	position	
25,t_transition*,uniquetransition,t	transition	uniquetransition	
26,i32,memcmp,i32	memcmp	
27,i32,utf8_utostr,i32	utf	utostr	
28,i8*,xmlGetProp,i8*	xml	Get	Prop	
29,_xmlDoc*,loadXMLFile,xml	Doc*	load	X	M	L	File	
30,_xmlXPathObject*,xmlXPathEval,xml	X	Path	Object*	xml	X	Path	Eval	
31,i32,getNumAttr,i32	get	Num	Attr	
32,i32,getNumAttr,i32	get	Num	Attr	
33,i32,getNumAttr,i32	get	Num	Attr	
34,i32,getNumAttr,i32	get	Num	Attr	
35,i32,getNumAttr,i32	get	Num	Attr	
36,_xmlXPathObject*,xmlXPathEval,xml	X	Path	Object*	xml	X	Path	Eval	
37,i32,xmlBufResize,i32	xml	Buf	Resize	
38,i8*,xmlStrchr,i8*	xml	Strchr	
39,i8*,xmlStrchr,i8*	xml	Strchr	
40,i32,xmlBufResize,i32	xml	Buf	Resize	
41,i32,xmlBufResize,i32	xml	Buf	Resize	
42,_xmlAttr*,xmlHasNsProp,xml	Attr*	xml	Has	Ns	Prop	
43,i8*,xmlNodeListGetString,i8*	xml	Node	List	Get	String	
44,i32,xmlStrlen,i32	xml	Strlen	
45,i8*,xmlStrcat,i8*	xml	Strcat	
46,i8*,xmlStrcat,i8*	xml	Strcat	
47,i32,xmlStrEqual,i32	xml	Str	Equal	
48,_xmlAttr*,xmlHasNsProp,xml	Attr*	xml	Has	Ns	Prop	
49,_xmlList*,xmlListCreate,xml	List*	xml	List	Create	
50,i32,xmlC14NIsXmlAttr,i32	xml	C14	N	Is	Xml	Attr	
51,i8*,xmlListSearch,i8*	xml	List	Search	
52,i32,xmlC14NIsXmlAttr,i32	xml	C14	N	Is	Xml	Attr	
53,i32,xmlStrEqual,i32	xml	Str	Equal	
54,i32,xmlStrEqual,i32	xml	Str	Equal	
55,i32,xmlStrEqual,i32	xml	Str	Equal	
56,i32,xmlStrlen,i32	xml	Strlen	
57,_xmlURI*,xmlParseURI,xml	U	R	I*	xml	Parse	U	R	I	
58,i32,xmlStrlen,i32	xml	Strlen	
59,i32,xmlStrcasecmp,i32	xml	Strcasecmp	
60,i32,xmlStrcasecmp,i32	xml	Strcasecmp	
61,i32,xmlStrlen,i32	xml	Strlen	
62,i32,xmlC14NCheckForRelativeNamespaces,i32	xml	C14	N	Check	For	Relative	Namespaces	
