index,type,value,combination,label
0,_xmlXPathObject*,xmlXPathEval,xml	X	Path	Object*	xml	X	Path	Eval	,0
1,_xmlDoc*,loadXMLFile,xml	Doc*	load	X	M	L	File	,-1
2,_xmlXPathObject*,xmlXPathEval,xml	X	Path	Object*	xml	X	Path	Eval	,0
3,i32,columnPosition,i32	column	Position	,1
4,i32,columnPosition,i32	column	Position	,1
5,i32,columnPosition,i32	column	Position	,1
6,i32,columnPosition,i32	column	Position	,1
7,_xmlXPathObject*,xmlXPathEval,xml	X	Path	Object*	xml	X	Path	Eval	,0
8,i32,xmlXPathIsNaN,i32	xml	X	Path	Is	Na	N	,2
9,_xmlXPathObject*,xmlXPathEval,xml	X	Path	Object*	xml	X	Path	Eval	,0
10,_xmlXPathObject*,xmlXPathEval,xml	X	Path	Object*	xml	X	Path	Eval	,0
11,_xmlXPathObject*,xmlXPathEval,xml	X	Path	Object*	xml	X	Path	Eval	,0
12,i32,hash_add,i32	hash	add	,3
13,i32,hash_add,i32	hash	add	,3
14,i32,hash_add,i32	hash	add	,3
15,i32,hash_add,i32	hash	add	,3
16,i64,strlen,i64	strlen	,4
17,_IO_FILE*,fopen,I	O	F	I	L	E*	fopen	,5
18,i32,ferror,i32	ferror	,-1
19,i8*,malloc,i8*	malloc	,6
20,i32,open,i32	open	,7
21,i32,memcmp,i32	memcmp	,8
22,i32,memcmp,i32	memcmp	,8
23,i32,set_position,i32	set	position	,-1
24,i32,set_position,i32	set	position	,-1
25,t_transition*,uniquetransition,t	transition	uniquetransition	,-1
26,i32,memcmp,i32	memcmp	,8
27,i32,utf8_utostr,i32	utf	utostr	,-1
28,i8*,xmlGetProp,i8*	xml	Get	Prop	,9
29,_xmlDoc*,loadXMLFile,xml	Doc*	load	X	M	L	File	,-1
30,_xmlXPathObject*,xmlXPathEval,xml	X	Path	Object*	xml	X	Path	Eval	,0
31,i32,getNumAttr,i32	get	Num	Attr	,10
32,i32,getNumAttr,i32	get	Num	Attr	,10
33,i32,getNumAttr,i32	get	Num	Attr	,10
34,i32,getNumAttr,i32	get	Num	Attr	,10
35,i32,getNumAttr,i32	get	Num	Attr	,10
36,_xmlXPathObject*,xmlXPathEval,xml	X	Path	Object*	xml	X	Path	Eval	,0
37,i32,xmlBufResize,i32	xml	Buf	Resize	,11
38,i8*,xmlStrchr,i8*	xml	Strchr	,12
39,i8*,xmlStrchr,i8*	xml	Strchr	,12
40,i32,xmlBufResize,i32	xml	Buf	Resize	,11
41,i32,xmlBufResize,i32	xml	Buf	Resize	,11
42,_xmlAttr*,xmlHasNsProp,xml	Attr*	xml	Has	Ns	Prop	,13
43,i8*,xmlNodeListGetString,i8*	xml	Node	List	Get	String	,14
44,i32,xmlStrlen,i32	xml	Strlen	,15
45,i8*,xmlStrcat,i8*	xml	Strcat	,-1
46,i8*,xmlStrcat,i8*	xml	Strcat	,-1
47,i32,xmlStrEqual,i32	xml	Str	Equal	,16
48,_xmlAttr*,xmlHasNsProp,xml	Attr*	xml	Has	Ns	Prop	,13
49,_xmlList*,xmlListCreate,xml	List*	xml	List	Create	,17
50,i32,xmlC14NIsXmlAttr,i32	xml	C14	N	Is	Xml	Attr	,-1
51,i8*,xmlListSearch,i8*	xml	List	Search	,-1
52,i32,xmlC14NIsXmlAttr,i32	xml	C14	N	Is	Xml	Attr	,-1
53,i32,xmlStrEqual,i32	xml	Str	Equal	,16
54,i32,xmlStrEqual,i32	xml	Str	Equal	,16
55,i32,xmlStrEqual,i32	xml	Str	Equal	,16
56,i32,xmlStrlen,i32	xml	Strlen	,15
57,_xmlURI*,xmlParseURI,xml	U	R	I*	xml	Parse	U	R	I	,18
58,i32,xmlStrlen,i32	xml	Strlen	,15
59,i32,xmlStrcasecmp,i32	xml	Strcasecmp	,19
60,i32,xmlStrcasecmp,i32	xml	Strcasecmp	,19
61,i32,xmlStrlen,i32	xml	Strlen	,15
62,i32,xmlC14NCheckForRelativeNamespaces,i32	xml	C14	N	Check	For	Relative	Namespaces	,-1
63,i32,xmlStrlen,i32	xml	Strlen	,15
