index,type,value,combination
0,_xmlXPathObject*,null,xml	X	Path	Object*	null	
1,i32,3,i32	constant	
2,_xmlDoc*,null,xml	Doc*	null	
3,_xmlNodeSet*,null,xml	Node	Set*	null	
4,i32,1,i32	constant	
5,_xmlXPathObject*,null,xml	X	Path	Object*	null	
6,i32,1,i32	constant	
7,_xmlNode**,null,xml	Node**	null	
8,i32,0,i32	constant	
9,i32,0,i32	constant	
10,i32,0,i32	constant	
11,i32,0,i32	constant	
12,i32,3,i32	constant	
13,_xmlXPathObject*,null,xml	X	Path	Object*	null	
14,i32,0,i32	constant	
15,t_chset*,null,t	chset	null	
16,,common dso_local global t_chset* null,	constant	
17,t_chset*,null,t	chset	null	
18,i32,4,i32	constant	
19,_xmlXPathObject*,null,xml	X	Path	Object*	null	
20,i32,0,i32	constant	
21,i8*,null,i8*	null	
22,i32,4,i32	constant	
23,_xmlXPathObject*,null,xml	X	Path	Object*	null	
24,i32,0,i32	constant	
25,i8*,null,i8*	null	
26,i32,1,i32	constant	
27,_xmlXPathObject*,null,xml	X	Path	Object*	null	
28,_xmlNode**,null,xml	Node**	null	
29,_xmlNodeSet*,null,xml	Node	Set*	null	
30,i32,0,i32	constant	
31,i8*,null,i8*	null	
32,_xmlNode*,null,xml	Node*	null	
33,t_powerset*,null,t	powerset	null	
34,t_transition*,null,t	transition	null	
35,i32,256,i32	constant	
36,t_state*,null,t	state	null	
37,i32,0,i32	constant	
38,i32,0,i32	constant	
39,i32,1,i32	constant	
40,i32,100,i32	constant	
41,t_transition*,null,t	transition	null	
42,i32,256,i32	constant	
43,i32,256,i32	constant	
44,i32,0,i32	constant	
45,i32,0,i32	constant	
46,t_state*,null,t	state	null	
47,,common dso_local global t_state* null,	constant	
48,t_state*,null,t	state	null	
49,i32,0,i32	constant	
50,t_chset*,null,t	chset	null	
51,t_chset*,null,t	chset	null	
52,,common dso_local global t_state* null,	constant	
53,t_state*,null,t	state	null	
54,t_transition*,null,t	transition	null	
55,t_transition*,null,t	transition	null	
56,t_state*,null,t	state	null	
57,t_stategroup*,null,t	stategroup	null	
58,i32,0,i32	constant	
59,t_stategroup*,null,t	stategroup	null	
60,t_state*,null,t	state	null	
61,t_transition*,null,t	transition	null	
62,i32,0,i32	constant	
63,t_transition*,null,t	transition	null	
64,t_stategroup*,null,t	stategroup	null	
65,t_stategroup*,null,t	stategroup	null	
66,i32,0,i32	constant	
67,t_state*,null,t	state	null	
68,i32,1,i32	constant	
69,i32,0,i32	constant	
70,t_stategroup*,null,t	stategroup	null	
71,,common dso_local global t_state* null,	constant	
72,t_state*,null,t	state	null	
73,t_transition*,null,t	transition	null	
74,t_stategroup*,null,t	stategroup	null	
75,t_state*,null,t	state	null	
76,t_transition*,null,t	transition	null	
77,t_stategroup*,null,t	stategroup	null	
78,t_chset*,null,t	chset	null	
79,t_state*,null,t	state	null	
80,i64,0,i64	constant	
81,i64,32,i64	constant	
82,i64,16,i64	constant	
83,i64,8,i64	constant	
84,t_chset*,null,t	chset	null	
85,i32,0,i32	constant	
86,t_symlist*,null,t	symlist	null	
