index,type,value,combination,label
0,_xmlXPathObject*,,xml	X	Path	Object*	null	,0
1,i32,3,i32	constant	,1
2,_xmlDoc*,,xml	Doc*	null	,2
3,_xmlNodeSet*,,xml	Node	Set*	null	,3
4,i32,1,i32	constant	,1
5,_xmlXPathObject*,,xml	X	Path	Object*	null	,0
6,i32,1,i32	constant	,1
7,_xmlNode**,,xml	Node**	null	,4
8,i32,0,i32	constant	,1
9,i32,0,i32	constant	,1
10,i32,0,i32	constant	,1
11,i32,0,i32	constant	,1
12,i32,3,i32	constant	,1
13,_xmlXPathObject*,,xml	X	Path	Object*	null	,0
14,i32,0,i32	constant	,1
15,t_chset*,,t	chset	null	,5
16,,common dso_local global t_chset* null,	constant	,6
17,t_chset*,,t	chset	null	,5
18,i32,4,i32	constant	,1
19,_xmlXPathObject*,,xml	X	Path	Object*	null	,0
20,i32,0,i32	constant	,1
21,i8*,,i8*	null	,7
22,i32,4,i32	constant	,1
23,_xmlXPathObject*,,xml	X	Path	Object*	null	,0
24,i32,0,i32	constant	,1
25,i8*,,i8*	null	,7
26,i32,1,i32	constant	,1
27,_xmlXPathObject*,,xml	X	Path	Object*	null	,0
28,_xmlNode**,,xml	Node**	null	,4
29,_xmlNodeSet*,,xml	Node	Set*	null	,3
30,i32,0,i32	constant	,1
31,i8*,,i8*	null	,7
32,_xmlNode*,,xml	Node*	null	,8
33,t_powerset*,,t	powerset	null	,-1
34,t_transition*,,t	transition	null	,9
35,i32,256,i32	constant	,1
36,t_state*,,t	state	null	,10
37,i32,0,i32	constant	,1
38,i32,0,i32	constant	,1
39,i32,1,i32	constant	,1
40,i32,100,i32	constant	,1
41,t_transition*,,t	transition	null	,9
42,i32,256,i32	constant	,1
43,i32,256,i32	constant	,1
44,i32,0,i32	constant	,1
45,i32,0,i32	constant	,1
46,t_state*,,t	state	null	,10
47,,common dso_local global t_state* null,	constant	,6
48,t_state*,,t	state	null	,10
49,i32,0,i32	constant	,1
50,t_chset*,,t	chset	null	,5
51,t_chset*,,t	chset	null	,5
52,,common dso_local global t_state* null,	constant	,6
53,t_state*,,t	state	null	,10
54,t_transition*,,t	transition	null	,9
55,t_transition*,,t	transition	null	,9
56,t_state*,,t	state	null	,10
57,t_stategroup*,,t	stategroup	null	,11
58,i32,0,i32	constant	,1
59,t_stategroup*,,t	stategroup	null	,11
60,t_state*,,t	state	null	,10
61,t_transition*,,t	transition	null	,9
62,i32,0,i32	constant	,1
63,t_transition*,,t	transition	null	,9
64,t_stategroup*,,t	stategroup	null	,11
65,t_stategroup*,,t	stategroup	null	,11
66,i32,0,i32	constant	,1
67,t_state*,,t	state	null	,10
68,i32,1,i32	constant	,1
69,i32,0,i32	constant	,1
70,t_stategroup*,,t	stategroup	null	,11
71,,common dso_local global t_state* null,	constant	,6
72,t_state*,,t	state	null	,10
