file,line,source 1,source 2,source 3
bldcsndfa.c,1002,function_0,global_0,N/A
bldcsndfa.c,1033,function_-1,global_2,N/A
bldcsndfa.c,1046,function_0,global_0,N/A
bldcsndfa.c,1062+++,function_1,global_1,N/A
bldcsndfa.c,1062++,function_1,global_1,N/A
bldcsndfa.c,1062+,function_1,global_1,N/A
bldcsndfa.c,1062,function_1,global_1,N/A
bldcsndfa.c,1089,function_0,global_0,N/A
bldcsndfa.c,1094,function_2,global_1,N/A
bldcsndfa.c,1113,global_6,global_5,N/A
bldcsndfa.c,1122,function_0,global_0,N/A
bldcsndfa.c,1139,function_0,global_0,N/A
bldcsndfa.c,1155,function_0,global_0,N/A
bldcsndfa.c,1262,function_3,global_1,N/A
bldcsndfa.c,1321,global_1,global_1,global_1
bldcsndfa.c,1397,global_6,global_10,N/A
bldcsndfa.c,1437,global_6,global_10,N/A
bldcsndfa.c,1509,function_3,global_1,N/A
bldcsndfa.c,1546,function_3,global_1,N/A
bldcsndfa.c,1581,function_3,global_1,N/A
bldcsndfa.c,1595,global_1,global_1,N/A
bldcsndfa.c,1604,global_6,global_10,N/A
bldcsndfa.c,1669,argument_-1,global_12,N/A
bldcsndfa.c,1789,global_6,global_10,N/A
bldcsndfa.c,1792,global_1,global_1,N/A
bldcsndfa.c,1812,global_6,global_10,N/A
bldcsndfa.c,1816,global_1,global_1,N/A
bldcsndfa.c,1834,global_6,global_10,N/A
bldcsndfa.c,1838,global_1,global_1,N/A
bldcsndfa.c,1854,global_6,global_10,N/A
bldcsndfa.c,1859,global_1,global_1,N/A
bldcsndfa.c,1885,argument_0,global_1,N/A
bldcsndfa.c,1928,function_5,global_14,N/A
bldcsndfa.c,1943,function_-1,global_1,N/A
bldcsndfa.c,237,argument_-1,global_7,N/A
bldcsndfa.c,267,argument_-1,global_1,N/A
bldcsndfa.c,386,function_6,global_7,N/A
bldcsndfa.c,395,function_7,global_1,N/A
bldcsndfa.c,496,argument_1,global_10,N/A
bldcsndfa.c,499,argument_1,global_10,N/A
bldcsndfa.c,504,argument_1,global_10,N/A
bldcsndfa.c,511,argument_1,global_10,N/A
bldcsndfa.c,542++,argument_2,global_10,N/A
bldcsndfa.c,545,argument_2,global_10,N/A
bldcsndfa.c,574,function_8,global_1,N/A
bldcsndfa.c,576,function_8,global_1,N/A
bldcsndfa.c,593,argument_3,global_-1,N/A
bldcsndfa.c,675,argument_4,global_1,N/A
bldcsndfa.c,676+,argument_4,argument_4,N/A
bldcsndfa.c,676,argument_4,global_10,N/A
