file,line,source 1,source 2,source 3,max_cos_similarity,max_similarity_corresponding_ID
bldcsndfa.c,1002,function_0,global_0,,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0]","[0, 2, 7, 10, 11, 12]"
bldcsndfa.c,1033,function_-1,global_2,,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0]","[1, 61, 1367, 1453, 1672, 1674]"
bldcsndfa.c,1046,function_0,global_0,,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0]","[0, 2, 7, 10, 11, 12]"
bldcsndfa.c,1062+++,function_1,global_1,,"[1.0, 1.0, 1.0, 1.0, 0.75, 0.75]","[3, 4, 5, 6, 8, 13]"
bldcsndfa.c,1062++,function_1,global_1,,"[1.0, 1.0, 1.0, 1.0, 0.75, 0.75]","[3, 4, 5, 6, 8, 13]"
bldcsndfa.c,1062+,function_1,global_1,,"[1.0, 1.0, 1.0, 1.0, 0.75, 0.75]","[3, 4, 5, 6, 8, 13]"
bldcsndfa.c,1062,function_1,global_1,,"[1.0, 1.0, 1.0, 1.0, 0.75, 0.75]","[3, 4, 5, 6, 8, 13]"
bldcsndfa.c,1089,function_0,global_0,,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0]","[0, 2, 7, 10, 11, 12]"
bldcsndfa.c,1094,function_2,global_1,,"[0.75, 1.0, 0.75, 1.0, 1.0, 1.0]","[6, 8, 13, 2131, 5301, 6960]"
bldcsndfa.c,1113,global_6,global_5,,"[1.0, 0.75, 0.75, 0.75, 1.0, 1.0]","[9, 21, 23, 25, 65, 67]"
bldcsndfa.c,1122,function_0,global_0,,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0]","[0, 2, 7, 10, 11, 12]"
bldcsndfa.c,1139,function_0,global_0,,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0]","[0, 2, 7, 10, 11, 12]"
bldcsndfa.c,1155,function_0,global_0,,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0]","[0, 2, 7, 10, 11, 12]"
bldcsndfa.c,1262,function_3,global_1,,"[0.75, 0.75, 1.0, 1.0, 1.0, 1.0]","[6, 8, 13, 17, 18, 19]"
bldcsndfa.c,1321,global_1,global_1,global_1,"[1.0000000000000002, 1.0000000000000002, 1.0000000000000002, 1.0000000000000002, 1.0000000000000002, 1.0000000000000002]","[14, 3703, 3721, 3723, 3725, 3731]"
bldcsndfa.c,1397,global_6,global_10,,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0]","[15, 16, 21, 23, 25, 27]"
bldcsndfa.c,1437,global_6,global_10,,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0]","[15, 16, 21, 23, 25, 27]"
bldcsndfa.c,1509,function_3,global_1,,"[0.75, 0.75, 1.0, 1.0, 1.0, 1.0]","[6, 8, 13, 17, 18, 19]"
bldcsndfa.c,1546,function_3,global_1,,"[0.75, 0.75, 1.0, 1.0, 1.0, 1.0]","[6, 8, 13, 17, 18, 19]"
bldcsndfa.c,1581,function_3,global_1,,"[0.75, 0.75, 1.0, 1.0, 1.0, 1.0]","[6, 8, 13, 17, 18, 19]"
bldcsndfa.c,1595,global_1,global_1,,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0]","[20, 24, 26, 28, 30, 369]"
bldcsndfa.c,1604,global_6,global_10,,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0]","[15, 16, 21, 23, 25, 27]"
bldcsndfa.c,1669,argument_-1,global_12,,"[1.0, 0.75, 0.75, 1.0, 1.0, 1.0]","[22, 74, 75, 90, 3981, 3983]"
bldcsndfa.c,1789,global_6,global_10,,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0]","[15, 16, 21, 23, 25, 27]"
bldcsndfa.c,1792,global_1,global_1,,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0]","[20, 24, 26, 28, 30, 369]"
bldcsndfa.c,1812,global_6,global_10,,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0]","[15, 16, 21, 23, 25, 27]"
bldcsndfa.c,1816,global_1,global_1,,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0]","[20, 24, 26, 28, 30, 369]"
bldcsndfa.c,1834,global_6,global_10,,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0]","[15, 16, 21, 23, 25, 27]"
bldcsndfa.c,1838,global_1,global_1,,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0]","[20, 24, 26, 28, 30, 369]"
bldcsndfa.c,1854,global_6,global_10,,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0]","[15, 16, 21, 23, 25, 27]"
bldcsndfa.c,1859,global_1,global_1,,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0]","[20, 24, 26, 28, 30, 369]"
bldcsndfa.c,1885,argument_0,global_1,,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0]","[31, 1274, 1277, 1279, 1353, 1361]"
bldcsndfa.c,1928,function_5,global_14,,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0]","[32, 1700, 1719, 1720, 1747, 1758]"
bldcsndfa.c,1943,function_-1,global_1,,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0]","[33, 153, 155, 171, 194, 195]"
bldcsndfa.c,237,argument_-1,global_7,,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0]","[34, 202, 318, 349, 398, 409]"
